condition,review_body,rating,sentiment
Vaginal Yeast Infection,oral surgeri took amoxicillin two week dentist prescrib fluconazol got generic use diflucan past great success seem generic not work well name brand three day three pill later still suffer yeast infect symptom,10.0,Positive
Birth Control,got birth control august get nexplanon period non stop month ago light bleed easi deal howev sensit hard deal get mood swing sometim horribl episod anxieti depress arm hurt recent due et taken day go oral birth control one pros realiz implant not experienc serious weight gain,7.0,Neutral
Depression,skeptic go medic realli big breakdown not see light took lexopro kept read review daili hope took along time medic kick pleas give week thought would upset help lift heavi fog help live normal life still anxieti time slowli increas help thank lexopro realli miracl dont give guy,9.0,Positive
Birth Control,implanon son month bled straight month break bleed straight heavi period month final fed bleed got remov guess unlucki one,2.0,Negative
Smoking Cessation,smoke cigarett year start take chantix septemb cigarett sinc octob hesit quit last time gain pound time no weight gain howev walk coupl mile day use exercis bike hour day experienc vivid dream noth disturb no troubl fall asleep get night urin someth new even went casino sat next smoker absolut no urg smoke think chantix life saver,10.0,Positive
Obsessive Compulsive Disorde,read medic literatur probabl efect treatment obsess compuls disord side effect led chang year use less tax medic weight gain much made confront other bring initi problem manag level switch anafrinil life saver,8.0,Positive
Pain,no pain control medic read post not given chanc md tri one small dose noth breakthrough pain seem adjust given someth break pain mayb would good outcom sad no health insur expens mayb favor would brutal final medicin work expens buy,1.0,Negative
Pain,suffer chronic pain seven year went mani specialist told either noth wrong fibromyalgia tri medic pain muscl relax anti depress medic epilepsi well med fibro noth help final found new nerologist put combo amitriptylin prozac smallest dose miracl pain wish would known year ago biggest problem weight gain like pound diet not chang took run no weight come guess rather less pain littl weight skinni ton pain,8.0,Positive
Anxiety,began take pristiq mg approxim month ago report numer previous post also experienc except rapid weight loss first week suffer nausea point not think could suffer physician said continu take also experienc extrem dizzi first day admit symptom not outweigh benefit like mani other much clear head focus notic negat side effect return almost overnight miss dose bodi help remind not want forget,8.0,Positive
Polycystic Ovary Syndrome,hesit tri chateal birth control realli past make mood feel control weight fluctuat due pcos need take howev start second month far side effect notic breast swollen like cup larger tender headach first week took took even avoid potenti sick headach went away first week not notic particular mood swing weight gain also not pregnant great would recommend chateal base current result,8.0,Positive
Myasthenia Gravis,put medic feb diagnos myasthenia gravi took month two get dose right fabul minim side affect love drug work wonder keep symptom minimum,8.0,Positive
Birth Control,understand everi woman differ mirena wonder struggl year pain cramp excess bleed mirena thing work never children pretti nasti pain put second one much less pain second time around husband could feel string first fade time said everyon,10.0,Positive
Birth Control,skyla month wrote review earlier within first week skyla insert describ went get light cramp everi also get period regular two femal roommat get get mine not real period light spot day also lost weight skyla pill made gain weight drove crazi back normal side break bad jaw area especi never acn frustrat tri come solut acn goe well realli anyth els complain skyla btw,8.0,Positive
Obesity,femal read mani review site nervous start contrav battl weight long rememb recent hit highest point went medic depress anxieti start week april low carb diet well week later pound realli side effect peopl talk bad migrain one day never get noth deal point will tri anyth today start pill morn pill even regimen hope increas dosag still feel ok pray help,9.0,Positive
Pain,sinc first gall stone attack year ago unexplain diarrhea would eat someth within minut would use bathroom urgent way doctor could not explain reason time tri treat constant numb pain leg gave gabapentin leg see would help funni enough leg diarrhea rare happen glad could help issu least,9.0,Positive
ADHD,medicin help son abl control impuls decis help abl go school homework,9.0,Positive
Muscle Spasm,prescrib flexeril time sever pull muscl use muscl relax lower pain spasm abl stretch muscl bit loosen pt took muscl tight ach work great day overdid definit not pill take day unless becom accustom attest efficaci short term use week doubt well would work long term,8.0,Positive
Weight Loss,took first dose belviq xr morn light breakfast still felt somewhat hungri hour hunger toler pm start feel like readi eat protein bar kept satisfi pm start feel slight headach come ate light dinner dull headach subsid around pm could not get warm felt drowsi crawl bed watch littl tv warm pm not run kitchen bedtim snack could eat yes far abl deal slight hunger pang littl thirsti even pound water updat soon,10.0,Positive
Birth Control,aubra month half current feel great first week constant headach went away everyth fine period becam shorter not pregnant definit like pill,10.0,Positive
Depression,took dose mg starter pack caus major issu experienc sleep disturb exacerb depress anxieti day sinc last dose still struggl insomnia panic frequent tear,1.0,Negative
Rhinitis,took allerx control allergi yrs work great stop insur cost structur tri two generic substitut sinc neither effect,10.0,Positive
Insomnia,tri trazadon insomnia week stop first final mgs worst week sleep wise recent memori would fall asleep hour stay asleep hour would hour tri get back sleep wake hour back seroquel aaaaarg,1.0,Negative
Depression,effect side effect bad pros work caus weight gain con notic sinc start take bodi temperatur higher normal even not sick time made act hyper not sure psychiatrist said fine happen often anymor note not taken peopl bipolar disord doctor prescrib make sure awar bipolar would recommend yes,8.0,Positive
Birth Control,junel fe year never realli problem except gain weight lot harder lose pill negat side effect except lower libido never realli bother last coupl month period way whack last month period month miss schedul period not realli sure go miss take pill think go pill brought worri make gain weight get acn,8.0,Positive
Pain,post surgic pain chronic pain knee revis not much pain dose mg,1.0,Negative
Herpes Simplex,gotten cold sore sinc young common thing among lot peopl happen normal year around winter lip end dri get chap cold sore end form not complet sure whatev make lay dormant get aggrav actual went local drug store get cold sore treatment found lysin unfortun catch time took pain itch away almost immedi shorten amount time would normal take cold sore heal blister alreadi form better product use lot effici,9.0,Positive
Depression,lexapro absolut miracl becom depress could no longer get bed cri everi day hate idea get medicin felt point no choic regret sooner pretti bad fatigu medicin first month two gone away glad final,10.0,Positive
Epilepsy,noth good say drug zero read said depakot normal recommend dose mg day take mg day year whole life turn upsid affect life mani way first dose take mani negat side effect amaz made colleg graduat side effect dose take sever side effect depress weight gain foot drop stutter tremor kept constant haze exponenti wors peopl take smaller dose worst drug imagin ban fda,1.0,Negative
Bacterial Skin Infection,best thing market need choos oil base one work miracl,10.0,Positive
Anxiety,realli like buspar work given mg tablet half whole three time day wonder help tame anxieti lower dosag buspar origin diagnosi anxieti depress adhd might bipolar disord instead realli experi much side effect except mayb lactat without pregnanc may celexa caus,9.0,Positive
Rosacea,use friend recommend heal face month rare get pimpl probabl sometim period come greedi like clearer face one look like babi skin no pore whatsoev dream much use week said purg normal th week u like made monster wors th week advic not use doctor tell use,1.0,Negative
Emergency Contraception,last month took plan b pill hour accid got period week earli bad cramp flow normal month period day late realli tender breast get cramp day pregnant not plan b fail read forum peopl say second period plan b either later come,10.0,Positive
Bowel Preparation,aw tast see these review took first dose mix prep water minut drink ounc addit water requir threw three time tast like salti cherri water hope never doctor recommend use magnesium citrat second dose thank think could forc take second round aw prep,1.0,Negative
Birth Control,pill year treat well heavi irregular period extrem light no side effect great job far,10.0,Positive
Pain,degen disc diseas herniat disk road depend oxycontin durages medicin work great howev not hold claim doctor put lyrica mg day differ made mobil much better well mental outlook life medicin seem job like recommend,10.0,Positive
Birth Control,great experi birth control compar altern includ progesteron estrogen bc pill insert painless left no scar begin bleed week pretti much constant bleed month gradual began taper experienc frequent period less volum mani complaint side effect initi turn natur reaction requir patienc would take littl blood compar migrain risk blood clot hormon imbal unplan pregnanc common bc option also experienc decreas anxieti regular mood,8.0,Positive
Smoking Cessation,thought quit smoke hopeless even start take chantix think could quit last cigarett may thrill beyond belief insur paid chantix would readili spent cost quit nasti habit took month instruct chang life feel empow strong healthi grate,10.0,Positive
Opiate Dependence,suboxon long prescript expens insur not cover clean almost three year doctor switch buprenorphin help cut cost great miracl drug opioid depend,9.0,Positive
Irritable Bowel Syndrome,drug chang life dealt chronic constip bloat year not start take everyday take need due regular bm sinc start drug see peopl state work trick drink least oz water minut eat water faster better work bm within hour everi time cost insur compani onlin coupon code use pharmaci regular cost insur coupon cost still expens better love medic happi poop,10.0,Positive
Urticaria,hive direct link autoimmun disord hashimoto thyroid diseas chronic hive treat zyrtec case give zyrtec star bc great otc fix allergi howev suffer chronic hive find noth help perhap need research experienc first hand found oatmeal bath coconut oil essenti oil sooth chronic hive specif lavend lemon meleluca peppermint next step get full blood panel done confirm hashimoto zyrtec fix good common allergi,7.0,Neutral
Sinusitis,sinus pressur infect got zpack first time ever one week later sinus still clog headach last day feel like reoccur diarrhea everi day tri everi singl homeopath way beat feel still sleep well nose run suck,4.0,Negative
Emergency Contraception,taken plan b twice not plane take ever got prescript regular bc normal boyfriend alway use condom time made egregi error heat moment took plan b next morn freak month read mani stori women get pregnant anyway well today got period let tell happiest ever get cramp side effect experienc plan b gas uncomfort not pain minim side effect extrem effect need take plan b relax realli work,10.0,Positive
Cluster Headaches,take imitrex nasal spray mg first min symptom cluster headach start great chanc headach last max min sometim work,8.0,Positive
Acne,start use duac skin discust littl bump everywher forehead cheek chin hid behind hair school makeup made bump even wors also sore skin huge bump took age go away skin nightmar dermatologist prescrib use month love skin complet clear problem take break els acn come shoot back trust learn hard way anyway besid would recommend everyon product made feel much beauti confid deal acn face chest back,10.0,Positive
"Diabetes, Type 2",bydureon month realli notic loss appetit lost sweet tooth weight came blood sugar level drop realli happi medicin known side effect start show nausea happen approx week fourth week take medicin bloat indigest lot pass wind acidi burp also felt bump itchi feel around inject area whenev inject sort side effect would realli fantast peopl type diabet realli reluct stop horribl nausea beat,6.0,Neutral
Epilepsy,care experi put emerg room friend take fantast experi everi person differ reaction know risk definit lot research,6.0,Neutral
Obesity,wake tire everyday gain wieght like crazi thought sure thyroid went dr begin june blood test set fact thyroid nope eat habit june wiegh heaviest ever fault never felt full talk dr lot differwnt option long stori stori short novemb control eat habit not notic side affect feel great want make healthi choic sleep better lose chane life thank qysmia dr cambel,10.0,Positive
Schizophrenia,got medicin amaz recov paranoid relax love life kept take coupl year symptom return withdraw nightmar,3.0,Negative
0</span> users found this comment helpful.,great pill want signific shorten period not great want clear skin minim pms symptom acn ridicul experi made break throughout month not around time period mood swing extrem notic boyfriend never fought much pill,4.0,Negative
Depression,diagnos add age struggl major depress sinc adolesc current take mg methylin er mg bupropion xl morn even take mg trazadon sleep week never felt better adjust period pretti mild bit jazz morn mild nausea even gradual fade week appetit return diet improv reconnect social sleep good awaken fulli alert sunris believ dramat chang optimist abl dig hole build life,9.0,Positive
Birth Control,start say reason got rate realiz everyon react differ smoker age option birth control limit experi bad insert not much pain bruis week first week no bleed bleed non stop ever sinc except one time week tri ibuprofen regimen recommend nurs not help sinc bad mood swing first month minim amount weight gain month lbs wors cramp use verifi effect birth control husband touch due bleed remov week,3.0,Negative
Hashimoto's disease,diagnos yrs ago hypo yrs ago diagnos hashi start levothyroxin soon realiz take generic switch synthroid level consist everi time went get lab done kept up med ask switch armour mo recent got result back tpo suppos tsh suppos doc pretti much baffl result sinc take thyroid med yrs switch natur throid take day mg pray med work,7.0,Neutral
Osteoarthritis,unfortun inject knee done noth allevi pain fact week shot knee slight wors hope month wear experienc excel result back normal perhap anoth brand work better st shot not hurt day becam pain much could not sleep final settl consid not finish shot nd somewhat pain left small bruis third littl pain shot wore knee brace day doctor say not candid replac surgeri,1.0,Negative
Allergic Urticaria,extrem hive bodi allerg reaction took singl mg tablet hydroxyzin hour went sleep no longer itch bedtim woke no hive start return night time took anoth tablet cycl continu,10.0,Positive
Psoriasis,psoriasi year first year mild quick got wors cover bodi various spot entir scalp breast elbow knee pelvic area random spot prescrib mg pill x wk methotrex tri everi cream imagin photo light therapi medic made extrem sick stomach see improv dermatologist recommend tri tan bed along medic within month psoriasi complet gone year medicin come back wors take medicin get sick lot hope work,8.0,Positive
Bowel Preparation,taken first dosag bms last five hour sinc start far everyth clear not understand give dosag two bottl everyon someon much larger take dose consid not take second,3.0,Negative
Acne,come nd month isotretinoin see skin peel acn get wors dri lip eye feel like new worsen acn leav wors scar would origin acn clear dad bad acn even afraid acn clear time soon hope start see result soon els last resort fail,3.0,Negative
Birth Control,bar sinc septemb month exact dr said no leriod no babi no worri take pill daili anyth bad thing caus gain buck wait good lose weight lost pound sinc gain almost pound,7.0,Neutral
Depression,th day lexapro no appetit start feel less anxious hope soon feel back perfect normal thank input,7.0,Neutral
Prostate Cance,start eligard work well start take casodex eligard inject work well earli came casodex time continu take eligard psa back cancer met spine radiat spine wait financi assist new medicin,9.0,Positive
Irritable Bowel Syndrome,mg x daili diarrhea point incontin told doctor take immodium minut eat anyth end bloat still explos diarrhea stop take viberzi untreat ib symptom heck lot better medic get wrong still urgent need least go back gym,1.0,Negative
Renal Cell Carcinoma,partial nephrectomi right kidney tumor papillari renal cell jan cancer reoccur sever locat omentum surgeri june remov portion frontal omentum includ papillari renal cell tumor multipl nodul still remain omentum side bodi take mg votrient sinc nov month shrinkag much occur tumor none increas size period initi side effect hypertens nausea weak improv period other diarrhea tast poor appetit remain age tri stay activ pray improv us,10.0,Positive
Hepatitis B,take viread mg month month take viread dna count undetect tri stay physic fit workout everyday various thing weight run cardo start take viread notic big decreas endur work weight even side effect kept take drug split workout instead recent start develop feel nausea dizzi feel like get wors frequent think stop take drug,6.0,Neutral
Pain,began use capsaicin hp sever pain neck top buttock caus fibromyalgia found decreas pain much better non narcot oral medic injuri back requir lumbar spinal fusion l capsaicin help pain incred appli everyday time day surgeri limit use area neck back away incis site heal resum use entir back get hot time learn not focus realiz time seem remov pain best nurs eventu learn allow heat typic last min got best result,9.0,Positive
Bowel Preparation,took miralax stool soften day day avoid solid food day took first dose pm ad chill water mixtur swig lemon lime soda spit gulp help drank two glass water immedi noth happen lot action hour hour half took second dose immedi action hour half tast viscos pleasant no wors prep time pass pretti quick play game ipad,10.0,Positive
Birth Control,start use month ago past two month start get realli bad acn not mention insomnia found yesterday side effect loestrin stop take hope go switch someth els first great take anymor,1.0,Negative
Birth Control,rd pack chateal call birth control provid ask could switch anoth pill work last month side effect like realli bad nausea stomach pain one realli bother acn usual realli clear skin get acn start period ever sinc start take break like crazi expect see new pimpl right take pill alway realli bad one hope next pill better,4.0,Negative
Birth Control,first expuls happen two day insert tri use paragard bodi reject week like concept paragard wish would work,1.0,Negative
Erosive Esophagitis,work great,10.0,Positive
Nausea/Vomiting of Pregnancy,take diclegi sinc week pregnant prior vomit mayb twice day felt nauseous day long except night first time took diclegi heaven felt sooooo good abl go full day not even think feel sick thought would effect whole time not week take diclegi seem like effect worn certain extent back feel nauseous day say vomit still control vomit mayb everi day still progress th week want see feel take med scare lol,7.0,Neutral
Neuropathic Pain,progress gabapentin lyrica mg x day chemic induc neuropathi month chemo hand feet numb tingl like asleep lyrica suppos advanc form gabapentin though seen littl differ increas appetit swell hand ankl continu use lyrica need someth hot shoot pain last med prescrib neuropathi,6.0,Neutral
Weight Loss,start belviq juli day lost pound drastic chang eat habit though must put work pill work honest not believ though even chang eat would lost much day not exercis day side effect worst headach day pop aspirin eventu headach stop one side effect eventu led stop take beliviq tired bad chose not take pill anymor stop august tri far good today august pound outsid high recommend,10.0,Positive
emale Infertility,take medic three month becam pregnant month later right tube explod week ectop pregnanc two blood transfus readi tri hope better luck next time one tube left pray,7.0,Neutral
Bipolar Disorde,neurontin sever year take along zoloft bi polar disord say work,10.0,Positive
Human Papilloma Virus,drug work well kill wart best start tiniest amount check bodi respond ramp get strong respons follow boilerpl time week usag guidanc slow use everi day ampli week blister effect start kick back negat review peopl got bad reaction miss point littl whole idea drug ramp immun respons area appli red blister rash swell etc precis want immun system work,9.0,Positive
Insomnia,normal write review much negat feedback given belsomra right feel oblig give dissent opinion suffer near year chronic insomnia sever impact abil function benzodiazepin help need take everi night built toler quick may earli say sure take mg dose belsomra past two month no appar toler issu help normal life everi sleep medic tri fail,10.0,Positive
Muscle Spasm,definit relax back muscl odd side effect strong hangov focus eye one thing second caus sleep hour time,8.0,Positive
"Asthma, Maintenance",son life lot better receiv treatment medic expens scholarship hospit son start treatment feb absent rate gone emerg room mani time school la counti go call even legal doctor note medic help us son went honor roll,10.0,Positive
Birth Control,say realli right pill year old one year old daughter decid realli anymor babi want birth control well insur got cut went counti friend said could get free birth control gave month worth one first finish last month want come back check sever anxieti depress long rememb start abl manag almost done first week second pack absolut no desir anyth anymor almost hard get bed anxieti depress care,1.0,Negative
HIV Infection,viral load gone undetect month,10.0,Positive
Birth Control,implant remov year month reaction moment relief first month constant bleed tri get remov got forc give month year period everi month constant moodi depress cri constant hungri also put stone seem stick stomach lost four pack month ago horribl period research think miscarriag sure last two month realli sore breast alarm one breast got massiv mad cramp no cramp calm wait remov plaster feel normal,4.0,Negative
Depression,start medic today felt nausea upset stomach within hour take food felt heavi irrit stomach decid make protein shake scoop matcha green tea powder almond milk finish shake felt relief nausea energi went seem like would work great irrit stomach go give anoth day nausea continu stop,5.0,Neutral
Vaginal Yeast Infection,bought like cri eye tri pee stuff stand shower put run water vagina feel like fire embarrass husband one look someth help burn itch caus never felt better stick garlic least burn,1.0,Negative
Major Depressive Disorde,start mg day feel less reactiv calm start mg day spiral deep depress agit irrit cri not sleep hour time shock like sensat right arm middl finger go complet numb headach back head alreadi ib expect gi distress nausea day along sever diarrhea week diarrhea intermitt wait hear doc reduc dose mg think might ticket good luck,5.0,Neutral
Depression,bipolar anxieti differ medic last year start small dosag month ago slowli made way mg oncedaili skin reaction increas would disappear day mg bupropion mg duloxtin chang life felt suicid month manag abat quick mood stabl abl face challeng would crush take lamotrigin love stabl level head minor thought block troubl rememb word sometim take,10.0,Positive
"Diabetes, Type 2",th week trulic janumet number vast improv janumet alon made terribl stomach issu ask doctor could discontinu janumet c said not yet last week though especi last week stomach issu return seem worsen discuss doctor wonder anyon els similar experi,7.0,Neutral
Pain,use chemotherapi neuropathi help pain,8.0,Positive
Alcohol Dependence,sober month miracl complet remov alcohol life coupl month crave begin abat not option sooner later stop think,10.0,Positive
Depression,sever depress generalis anxieti disord prescrib mirtazapin start dosag mg took everi night week dosag increas mg physic symptom subsid psycholog symptom still quit prolif mg tackl psycholog symptom take month posit effect start wear point dosag increas mg dealt remain symptom within coupl month take mg month come medic entir space week main downsid social anxieti got wors time mg drowsi,8.0,Positive
14</span> users found this comment helpful.,medic made sick liter could not sit still felt better lie sat rock felt miser even rememb help pain could give rate would concept brilliant not taken alev naproxen alon long eat enough take fine never taken nexium esomeprazol mayb nexium agre mayb eat enough take medicin mayb combin took new market sick day take stop medic,1.0,Negative
Birth Control,ortho cyclen year no problem mood swing switch lutera daughter reason period becom irregular sinc take lutera emot wreck deal normal life situat make simpl decis like go dinner break cri pressur poor fianc deal switch anoth pill,1.0,Negative
Depression,start take deplin month ago addit mg wellbutrin alreadi take sever year experienc low level chronic depress general okay doctor recommend tri deplin see whether would increas level well could swear feel lot depress deplin noth chang term life style past month think explan needless say go stop take no idea might worsen symptom,1.0,Negative
Chlamydia Infection,took dose today chlamydia infect took mg dose look websit take find side effect peopl experi absolut terrifi take took anyway obvious want rid infect took clock morn absolut no side effect ever no dizzi no stomach pain no diarrhea bit nausea put hungri ate felt fine hope effect told post updat week two receiv result hope negat,10.0,Positive
Bladder Infection,caus violent abdomin pain flank pain nausea headach day call doctor differ medicin,2.0,Negative
Birth Control,post quick post insert updat read review terrifi get paragaurd insert tri almost everi form hormon birth control pill shot one put terribl terribl side effect basic name side effect excit paraguard serious pain not bad realist feel like one bad period cramp make wanna curl ball last two minut breath fine cramp suck today take cramp pregnanc hormon bc side effect day post later plus insur cover n crappi insur,10.0,Positive
emale Infertility,tri ivf time no avail took fifth time work never diagnos pcos think know metformin work awesom make feel full give diarrhea whatev,10.0,Positive
Birth Control,took natazia month take levora portia year libido went way first month everyth fine period light appetit decreas even lost littl weight howev last month bleed everi week bled day exact like heavi regular period began get chest facial acn headach not normal month switch increas libido awesom not awesom unavail addit day beyond period month,6.0,Neutral
Depression,year old woman anxieti tell depress also tell lot hormon chang life start lexapro mg day mg last day also sensit medicin side effect mani shaki dri mouth low energi terribl insomnia know begin no sleep improv,5.0,Neutral
Diverticulitis,prescrib flagyl cipro diverticul work well hard teas caus side effect howev flagyl seem milder two bad pill tast no problem metal tast taint everyth glad hear other experienc heighten chang sens smell thought go crazi no nausea flagyl alon hour ad cipro exhaust nausea aw also dark urin diarrhea unsettl sound normal,8.0,Positive
Muscle Spasm,wow medic make back pain spasm go away downfal medic knockout feel took yesterday around p morn drive appoint felt detach medic work howev tire dopey feel foggi head negat bad make tire back hand feel great,10.0,Positive
Urinary Tract Infection,yr old temp day achi day went clinic negat flu strep white count normal advis push fluid treat fever day temp went back clinic urinari analysi show rage uti realli dehydr option shot rocephin push fluid start oral antibiot not better morn admit hospit admit right went shot within hour saw vast improv fever not pain better drink better even manag eat littl bit work day homework would definit recommend rocephin,10.0,Positive
Depression,everi drug work differ person person found trintellix help life take mg month help much anxieti depress not cure anxious person no longer consum even worri thing physic gut wrench worri alway feel posit life posit thing use panic abl think ration manag gotten point none thing use enjoy anyth back medic laugh thing want stay away sleep say truli happi,9.0,Positive
Insomnia,doctor gave help sleep usual drug lunesta ambien etc help much made sleep walk take day stuff fantast pretti much sleep night everi night no sleep walk,8.0,Positive
